,name,created,last_vote_time,last_post,reputation,total_steem,total_sbd,total_vests
114,kencode,2016-05-04 18:48:51,2017-09-29 16:46:24,2017-09-29 11:24:18,94046475446581,5849.338,182.541,5879840.01
115,genis-carreras,2016-05-06 02:14:42,2016-05-06 02:26:09,2016-05-06 02:26:03,102687282018,0.0,1.402,154340.51
116,coindup,2016-05-04 01:46:51,2017-09-29 21:32:00,2017-09-20 22:52:15,835081366952,34.761,28.112,6391796.734
117,anon,2016-04-25 21:40:36,2016-07-23 06:09:27,2016-07-23 06:03:30,4554615869917,85.21,0.014,4388038.575
118,bhokor,2016-05-06 12:21:48,2017-09-30 04:33:00,2017-07-08 17:26:21,1535566094086,0.0,0.0,823108.818
119,chris4210,2016-05-06 14:41:51,2017-09-30 08:26:21,2017-09-21 20:47:51,39258729502297,0.0,7.794,40439175.348
120,megadeth,2016-04-21 20:48:12,2016-05-13 06:21:39,2016-05-13 06:17:18,65622166670,0.0,0.695,197578.009
121,officialfuzzy,2016-04-23 04:30:15,2017-09-30 11:42:48,2017-09-30 11:23:39,276161500701448,7474.969,496.443,28901015.443
122,jamie,2016-04-06 22:44:48,2017-01-04 02:22:18,2016-08-18 20:36:09,4919608834945,6456.717,86.946,14636405.332
123,simba,2016-04-14 19:17:36,2017-09-19 14:53:21,2017-09-11 13:21:39,41457762850470,0.001,13.877,2131134.911
124,bobsunday,2016-05-06 23:54:39,2016-10-25 18:38:27,2016-10-25 19:26:00,5451367204252,264.563,273.879,8893400.489
125,cnavigato,2016-05-06 22:24:03,2017-07-08 19:19:09,2017-03-31 02:48:18,525346395953,3303.639,0.538,177.995
126,jabberw0cky,2016-05-04 03:00:06,2017-09-30 04:16:57,2017-09-30 04:16:09,2337690959990,1660.363,55.632,1325647.647
127,snoop,2016-05-07 13:28:33,2017-01-05 10:07:57,2017-03-14 13:34:57,-277733342332,1.413,0.083,122079.468
128,noaommerrr,2016-05-07 15:19:30,2017-09-29 15:47:00,2017-09-25 12:57:36,2053469791067,1.67,213.469,99491781.038
129,erlichbachman,2016-04-23 14:59:06,2017-02-01 03:11:45,2016-10-31 01:20:45,944449061556,0.0,0.0,1389.391
130,mdyyz,2016-05-07 17:38:57,2016-05-08 01:04:42,2016-05-09 00:01:48,1366224165004,71.176,0.0,0.0
131,heidi-dounavis,2016-05-07 17:58:54,2016-05-07 18:10:15,2016-05-07 18:09:39,4596856015,0.0,0.025,117505.802
132,valtr,2016-05-07 14:17:48,2017-09-25 04:17:39,2017-09-23 08:08:54,9544226462844,149.134,0.434,3698037.787
133,dishwashing-unit,2016-05-07 22:53:27,2017-07-21 22:46:00,2017-08-06 00:41:45,101658364591,0.0,0.275,371.884
134,cucistim,2016-03-27 13:49:39,2017-06-21 23:09:27,2016-05-08 01:42:21,115724704867,0.0,0.005,7248.589
135,tonyson,2016-05-08 02:15:00,2016-07-12 14:10:51,2016-07-10 12:13:54,10972214016805,3.806,0.936,28977884.839
136,chocolate,2016-04-18 05:21:00,2016-07-17 14:26:39,2016-05-08 04:05:15,51985906388,0.0,0.0,17883.454
